city,locality,bhk,bathrooms,area_sqft,price_inr
Thane,Vijay Galaxy,1,2.0,450.0,7600000.0
Thane,Acura,2,2.0,650.0,11100000.000000002
Thane,Lodha Lakeshore Greens,1,2.0,510.0,3500000.0
Thane,Unknown,2,2.0,810.0,22000000.0
Thane,Samrin Heritage,2,2.0,800.0,17600000.0
Thane,Unknown,2,2.0,670.0,8500000.0
Thane,Vaishnavi Highlife,1,2.0,500.0,4950000.0
Thane,Samrin Heritage,2,2.0,804.0,17700000.0
Thane,And Forever City,2,2.0,625.0,6000000.0
Thane,Unknown,2,2.0,770.0,10500000.0
Thane,Neelkanth Palms,3,3.0,1040.0,23500000.0
Thane,Lodha Amara,2,2.0,672.0,10900000.0
Thane,Lodha Lakeshore Greens,1,1.0,500.0,3500000.0
Thane,Acura,2,2.0,650.0,11399999.999999998
Thane,Lodha Downtown Palava,1,2.0,450.0,3300000.0
Thane,Unknown,2,2.0,1090.0,4100000.0
Thane,Unknown,1,1.0,485.0,4100000.0
Thane,Panvelkar Montana,1,1.0,654.0,2390000.0
Thane,Unknown,1,1.0,665.0,1950000.0
Thane,Unknown,1,1.0,525.0,4000000.0
Thane,Unknown,1,1.0,585.0,3500000.0
Thane,Vaishnavi Highlife,2,2.0,620.0,6500000.0
Thane,Pranjee Garden City,2,2.0,580.0,4250000.0
Thane,Vasant Leela Apartment,1,2.0,434.0,5100000.0
Thane,Project Hiranandani Estate,2,2.0,769.0,15500000.0
Thane,Unknown,3,3.0,1260.0,27900000.0
Thane,Sai Balaji Emerald,2,2.0,630.0,7100000.0
Thane,Runwal Garden City,3,3.0,900.0,16500000.0
Thane,One Hiranandani Park,1,2.0,455.0,13000000.0
Thane,One Hiranandani Park,2,2.0,559.0,16100000.000000002
Thane,One Hiranandani Park,4,5.0,2200.0,70400000.0
Thane,Neptune Element,1,1.0,280.0,1950000.0
Thane,Unknown,1,1.0,375.0,3200000.0
Thane,Unknown,1,2.0,555.0,5000000.0
Thane,Unknown,3,2.0,900.0,10000000.0
Thane,Unknown,2,2.0,758.0,18500000.0
Thane,Raj Vaibhav NX,1,1.0,540.0,5200000.0
Thane,Rutu Enclave,1,1.0,290.0,3800000.0
Thane,Unknown,2,2.0,758.0,18000000.0
Thane,Unknown,1,1.0,650.0,6200000.0
Thane,Unknown,1,2.0,630.0,6200000.0
Thane,Acura,2,2.0,640.0,10800000.0
Thane,Ace Square,2,2.0,600.0,9500000.0
Thane,Unknown,2,2.0,710.0,9800000.0
Thane,Madhukunj CO OP Housing Society,1,1.0,340.0,2300000.0
Thane,Unknown,3,2.0,820.0,9800000.0
Thane,Lodha Palava City,3,2.0,679.0,6800000.0
Thane,Lodha Palava City,1,2.0,441.0,4200000.0
Thane,Unknown,1,1.0,475.0,5300000.0
